name,page_link
Радметрон,/residents/polimaster/
Расвиком Сервис,/residents/rasvikom-service/
РБС Софт,/residents/rbs-soft/
Регула,/residents/regula/
РЕДАЛЬФА,/residents/redalfa/
РедАрт,/residents/redart/
Рекомерс,/residents/rekomers/
Реслив,/residents/resliv/
Ресторанс консалт энд суппорт,/residents/restorans-konsalt-end-support/
Ригельшторм,/residents/rigelshtorm/
Ридотто,/residents/Ridotto/
РИНГЛ Софтвер Девелопмент,/residents/ringl-softver-development/
РИТЭЙЛ КОНСАЛТ,/residents/riteyl-konsalt/
РИФТЭК,/residents/riftek/
РичБрэйнс Солюшенс,/residents/richbreyns-solyushens/
РиэлтБай,/residents/rieltbay/
Ровенком,/residents/rovenkom/
Розум Роботикс,/residents/rozum-robotiks/
Розум Системс,/residents/rozum-sistems/
Рой Джой,/residents/roy-djoy/
РОКЕТ ПРОДЖЕКТ,/residents/roket-prodjekt/
РОКЕТСАЕНС,/residents/roketsaens/
Роксофт,/residents/roksoft/
Рубиройд Девелопмент,/residents/rubiroyd-development/
Руна Системс,/residents/runa-sistems/
Рутин Аутомэйшн,/residents/rutin-automeyshn/
РэдБарк,/residents/redbark/
Рэднэвис,/residents/rednevis/
РэдСтрим,/residents/redstream/
Сабаба Лэбс,/residents/sababa-lebs/
Сабер БГС,/residents/saber-bgs/
Сайбер Джинезис,/residents/sayber-djinezis/
Сайберри СиАйЭс,/residents/sayberri-siayes/
Сайдвэйс 6 Девелопмент,/residents/saydveys-6-development/
Сайфек,/residents/sayfek/
Сакцесс,/residents/sakcess/
Сампад (Itexus) ,/residents/sampad/
САМСОЛЮШНС,/residents/samsolyushns/
САПР-АРТ,/residents/sapr-art/
Сателлит Инновейшнс,/residents/satellit-innoveyshns/
СВАПС системз,/residents/svaps-sistemz/
СвежийСок,/residents/svejiysok/
Свифт инжиниринг,/residents/svift-inzhiniring/
СВОРТ,/residents/svort/
СВЭГ МАША,/residents/sveg-masha/
СВЭЙ,/residents/svey/
СГ Мобайл,/residents/sg-mobayl/
Сеавус,/residents/seavus/
Северекс Бай,/residents/severeks-bay/
Седон БЛР,/residents/sedon-blr/
Секьюрити Лаб,/residents/sekyuriti-lab/
Селадон,/residents/seladon-development/
СЕНЛА ГРУП,/residents/senla-grup/
Сенсис Инжиниринг,/residents/sensis-inzhiniring/
Сенсори Текнолоджис,/residents/sensori-teknolodjis/
Сенсотроника,/residents/sensotronika/
Сервисные интеллектуальные системы и продукты,/residents/servisnye-intellektualnye-sistemy-i-produkty/
Серпико,/residents/serpiko/
Си Би Мобайл,/residents/si-bi-mobayl/
Сивил Проджэкт,/residents/sivil-prodzhekt/
Силк АИлайнс,/residents/silk-ailayns/
СимфониАрт,/residents/simfoniart/
Синезис,/residents/sinezis/
СинемаЛаб,/residents/sinemalab/
Синерик ЭйАй,/residents/sinerik-eyay/
Синкпэй,/residents/sinkpey/
Синтегрико,/residents/sintegriko/
Сиркьют Инжиниринг Технолоджиз,/residents/sirkyut-inzhiniring-tekhnolodzhiz/
СистемаСофтИТ,/residents/sistemasoftit/
СИСТЕМНЫЕ ТЕХНОЛОГИИ,/residents/sistemnye-tehnologii/
Сител,/residents/sitel/
СитиСофт,/residents/sitisoft/
СК хайникс мемори солюшнс Восточная Европа,/residents/sk-hayniks-memori-solyushens-vostochnaya-evropa/
Скайбуфер,/residents/skaybufer/
Скайвинд Тек Бай,/residents/skayvind-tek-bay/
Скайрокет,/residents/skayroket/
Скандивеб Бел,/residents/skandiveb-bel/
СКДО Системс,/residents/skdo-sistems/
Скедюлер,/residents/skedyuler/
Скорум,/residents/skorum/
СКЭНД,/residents/skend/
СЛИВКИ БАЙ,/residents/slivki-bay/
Слэмсофт,/residents/slemsoft/
СМ Технолоджис,/residents/sm-tehnolodjis/
СмартГраф Технологии,/residents/smartgraf-tehnologii/
Смартпро,/residents/smartpro/
СмартПроцессинг,/residents/belveb-ayti/
СМАРТПУЛ,/residents/smartpul/
Смартспел,/residents/smartspel/
СмартТехноСенс,/residents/smarttekhnosens/
Смартум Эрэндди,/residents/smartum-erenddi/
СмартЭксперт Плюс,/residents/smartekspert-plyus/
Совершенный код,/residents/sovershennyy-kod/
СолбегСофт,/residents/solbegsoft/
СолвИтБай,/residents/solvitbay/
Сонэйм Солюшнс,/residents/soneym-solyushns/
Сотбифай,/residents/sotbifay/
Софтаком,/residents/softakom/
Софтарекс Технолоджиес,/residents/softareks-tehnolodjies/
Софтгарантсервис,/residents/softgarantservis/
Софтек Девелопмент,/residents/softek-development/
Софтек Лаб,/residents/softek-lab/
Софтера Солюшнс,/residents/softera-solyushns/
СОФТКЛУБ,/residents/softklub/
СОФТКЛУБ – Центр разработки,/residents/softklub--centr-razrabotki/
СофтЛофт,/residents/softloft/
Софтмакс системы телеметрии,/residents/softmaks-sistemy-telemetrii/
Софтнетикс,/residents/softnetiks/
СофтСервис,/residents/softservis/
СофтТеко,/residents/softteko/
СофтТеч Девелопмент,/residents/softtech-development/
СофтХаус,/residents/softkhaus/
СофтЭксперт,/residents/softekspert/
СофтЭфИкс Дэв,/residents/softefiks-dev/
Спайдер Технолоджиз,/residents/spayder-tekhnolodzhiz/
Спатлайт,/residents/spatlayt/
СПГ Софтвэ Солюшнс,/residents/spg-softve-solyushns/
Спесифик-Груп Софтвэ Девелопмент Дивижн,/residents/spesifik-grup-softve-development-divijn/
Спираль Скаут,/residents/spiral-skaut/
Спортдата,/residents/sportdata/
СпроАйТи,/residents/sproayti/
СпурАйТи,/residents/spurayti/
Стайлсофт,/residents/staylsoft/
Станумиум,/residents/stanumium/
СтаркГеймз,/residents/starkgeymz/
Старт Мэттер,/residents/start-metter/
СТДев,/residents/stdev/
Стигма Софт,/residents/ooo-stigma-soft/
Стил Манкиз Компани,/residents/stil-mankiz-kompani/
СтилтСофт Девелопмент,/residents/stiltsoft-development/
СТО СОФТ,/residents/sto-soft/
СториМод,/residents/storimod/
СТРИМКЭПИТАЛ,/residents/strimkepital/
Стримс Девелопмент,/residents/strims-development/
СтронгСофт,/residents/strongsoft/
Студия Райт,/residents/studiya-rayt/
СТЭКЛЭВЭЛГРУПП,/residents/steklevelgrupp/
СуматоСофт,/residents/sumatosoft/
СУПЕРЛЕВЕЛ,/residents/superlevel/
Сэд Кэт Студиоз,/residents/sed-ket-studioz/
Сэльвин Систем,/residents/selvin-sistem/
Т2 Софт,/residents/t2-soft/
Табгрейт,/residents/tabgreyt/
ТАКТИЛ,/residents/taktil/
Таленс БАЙ,/residents/talens-bay/
ТангоМи,/residents/tangomi/
ТапЛэб,/residents/tapleb/
ТаргСофт,/residents/targsoft/
Тачлайн,/residents/tachlayn/
ТачСофт,/residents/tachsoft/
Твин Солюшенс,/residents/tvin-solyushens/
Твистеллар,/residents/tvistellar/
Твоя столицааналитикс,/residents/tvoya-stolicaanalitiks/
Теалиум Бел,/residents/950/
Тектус Медиа,/residents/tektus-media/
ТекХайф,/residents/tekkhayf/
Темса,/residents/temsa/
Терраскейл,/residents/terraskeyl/
ТЕРРИТОРИЯ АЙТИ,/residents/territoriya-ayti/
Техартгруп,/residents/itechart-group/
Техно-Скай,/residents/tekhno-skay/
ТехноИнновация,/residents/tekhnoinnovatsiya/
Технологии Виртуальной Реальности,/residents/tehnologii-virtualnoy-realnosti/
Технологии качества,/residents/tehnologii-kachestva/
Технологии управления проектами,/residents/tehnologii-upravleniya-proektami/
Технотон инжиниринг,/residents/tehnoton-injiniring/
Техспул,/residents/tehspul/
Течкор,/residents/techkor/
ТиДиАй Бел,/residents/tidiay-bel/
Тимвероу,/residents/timverou/
ТИСПР,/residents/tispr/
ТКП-Софт,/residents/tkp-soft/
ТОДЕС,/residents/todes/
Топ Софт,/residents/top-soft/
Тотал Геймз,/residents/total-geymz/
Точные решения,/residents/tochnye-resheniya/
Трест № 73,/residents/trest-73/
Триггер Студиос,/residents/trigger-studios/
ТриИнком,/residents/triinkom/
Триплдот бай,/residents/tripldot-bay/
ТРУКОНФ,/residents/trukonf/
Трули Сошиал Геймс БиУай,/residents/truli-soshial-geyms-biuay/
ТрэкПод,/residents/trekpod/
ТУЛА Консалтинг,/residents/tula-konsalting/
ТуПлан,/residents/tuplan/
Турбомэйтс Софт,/residents/turbomeyts-soft/
Тэквайс,/residents/tekvays/
Тэксод Технолоджиз,/residents/teksod-tehnolodjiz/
Тэпстон Девелопмент,/residents/tepston-development/
ТЭСЭТ,/residents/tesetdev/
Уайлд Бивер,/residents/yaild%20biver/
Уайлдспайкс,/residents/uayldspayks/
Уайтмедиа Системс,/residents/uaytmedia-sistems/
УайтСнейк,/residents/uaytsneyk/
Уан Поинт,/residents/uan-point/
УАНЛАЙТ АППС,/residents/uanlayt-apps/
Умные Торговые Решения,/residents/umnye-torgovye-resheniya/
Умный код,/residents/umnyy-kod/
Унибелус ИТЦ,/residents/unibelus-itts/
Услуги Онлайн,/residents/uslugi-onlayn/
Фабрика инноваций и решений,/residents/fabrika-innovaciy-i-resheniy/
Фаброс,/residents/fabros/
Файвли,/residents/fively/
Файдвер,/residents/faydver/
Файердом Бел,/residents/fayerdom-bel/
Файненшл Технолоджи Компани,/residents/stso/
Фанкрафт,/residents/fankraft/
ФастСервАПП,/residents/fastservapp/
Фаундэвс,/residents/faundevs/
Феномен Геймз,/residents/fenomen-geymz/
Физзи Бриззи Геймс,/residents/fizzi-brizzi-geyms/
Филин Диджитал,/residents/filin-didjital/
ФинБай ИТ,/residents/finbay-it/
Финвин технолоджис,/residents/finvin-tekhnolodzhis/
Фингерз медиа,/residents/fingerz-media/
Финстек Бел,/residents/finstek-bel/
ФинтексЛаб,/residents/fintekslab/
Фитбит Бел,/residents/fitbit-bel/
Фитспаир,/residents/fitspair/
Флэтлоджик,/residents/fletlodjik/
Форанкс,/residents/foranks/
Фортвижн,/residents/fortvizhn/
ФП Трэйд,/residents/fp-treyd/
Фреш Лайм Софт,/residents/fresh-laym-soft/
Фрешли Дата,/residents/freshli-data/
Фринто,/residents/frinto/
Фриплэй,/residents/fripley/
Фьюжнтех,/residents/fyujnteh/
ФьюриЛаин Девелопмент,/residents/fyurilaindevelopment/
ФьюриЛаинГрупп,/residents/fyurilaingrupp/
ХайКво Солюшенс,/residents/haykvo-solyushens/
Хайкор Геймз,/residents/khaykor-geymz/
Хайэнд Системс,/residents/hayend-sistems/
Ханзеком БАЙ,/residents/khanzekom-bay/
ХелсМэй,/residents/khelsmey/
Хитбокс,/residents/hitboks/
ХитСофт,/residents/khitsoft/
Хьюманс АйТи,/residents/hyumans-ayti/
Хьюмен Систем,/residents/hyumen-sistem/
Хэппи Геймс Студио,/residents/heppi-geyms-studio/
Центр банковских технологий,/residents/centr-bankovskih-tehnologiy/
Центр информационных ресурсов и коммуникаций,/residents/tsentr-informatsionnykh-resursov-i-kommunikatsiy/
Центр Корпоративных Технологий,/residents/tsentr-korporativnykh-tekhnologiy/
Центр Разработки ПИ ЭС ЭЙ,/residents/centr-razrabotki-pi-es-ey/
Центр систем идентификации,/residents/centr-sistem-identifikacii/
Центр цифрового развития,/residents/institut-prikladnyh-programmnyh-sistem/
ЦИТ Минтруда и соцзащиты,/residents/cit-mintruda-i-soczashchity/
ЦИТРЕА СОФТ,/residents/citrea-soft/
ЦИФРОВАЯ ГАРАНТИЯ,/residents/tsifrovaya-garantiya/
Цифровой космос,/residents/tsifrovoy-kosmos/
Цифровые платформы,/residents/cifrovye-platformy/
ЦНИИТУ-ИТ,/residents/cniitu-it/
ЦРПО АрасКорп,/residents/crpo-araskorp/
ЧЕМПИОН СИСТЕМ,/residents/chempion-sistem/
Чериш Дев,/residents/cherish-dev/
ЧЕТЫРЕАЧЕТЫРЕ,/residents/chetyreachetyre/
ШЕРКЕЙ Лабс,/residents/sherkey-labs/
Школа робототехники,/residents/shkola-robototehniki/
Штайнпильц Бел,/residents/shtaynpilts-bel/
Эверданс,/residents/everdans/
ЭВО электроникс,/residents/evo-elektroniks/
ЭВОК Системз,/residents/evok-sistemz/
Эволюшн Продактс Девелопмент,/residents/evolyushn-prodakts-development/
ЭвриДогги,/residents/evridoggi/
ЭгоСекьюр,/residents/egosekyur/
Эдуду,/residents/edudu/
ЭдуТех Солюшн,/residents/eduteh-solyushn/
ЭИРКЛАУД,/residents/eirklaud/
ЭйДжи Продакшн,/residents/eydji-prodakshn/
ЭйДжи Софтваре,/residents/eydji-softvare/
ЭйКей софт,/residents/eykey-soft/
Эйч Кью Системз,/residents/eych-kyu-sistemz/
Эйч энд Кей Софт Компани,/residents/eych-end-key-soft-kompani/
Эквай,/residents/ekvay/
Экономика-софт,/residents/ekonomika-soft/
Экс Пи Граф,/residents/eks-pi-graf/
Эксадел,/residents/eksadel/
ЭКСАТ-ЛАБ,/residents/eksat-lab/
Эксон Ай Ти,/residents/ekson-ay-ti/
Эксперт Софтваре Девелопмент,/residents/ekspert-softvare-development/
Экспозит,/residents/ekspozit/
Эктив Технолоджис,/residents/ektiv-tehnolodjis/
Электронная экономика,/residents/elektronnaya-ekonomika/
Электронное ДЕЛО,/residents/elektronnoe-delo/
Электронные документы и накладные,/residents/elektronnye-dokumenty-i-nakladnye/
Электронные Системы и Сервисы,/residents/elektronnye-sistemy-i-servisy/
Элементри,/residents/elementri/
Элижн студио,/residents/elizhn-studio/
Эллипсис Лэб,/residents/ellipsis-leb/
ЭлмоСофт,/residents/elmosoft/
Эмбедид Солюшнз БЛР,/residents/embedid-solyushnz-blr/
Эмит Текнолоджи,/residents/emit-teknolodzhi/
ЭМПИ СОЛЮШНС,/residents/empi-solyushns/
ЭМСИЭН Глобал,/residents/emsien-global/
ЭНВЭЙ,/residents/envey/
ЭНЭКА,/residents/eneka/
ЭПАМ Системз,/residents/epam-sistemz/
Эпикмакс,/residents/epikmaks/
Эполь Софт,/residents/epol-soft/
ЭппсХаб,/residents/eppskhab/
Эра защиты,/residents/era-zashchity/
Эргалио,/residents/ergalio/
Эрнст энд Янг Диджитал,/residents/ernst-end-yang-didjital/
ЭСКАЭР ГЕЙМС,/residents/eskaer-geyms/
ЭтаКар Системс,/residents/etakar-sistems/
Эффективные программы,/residents/effektivnye-programmy/
Эффектура,/residents/effektura/
Юзтех Бел,/residents/yuztekh-bel/
ЮКОЛА-ИНФО-Брест,/residents/yukola-info-brest/
ЮНИДЕВ,/residents/dots-bel/
Юник Лаб,/residents/yunik-lab/
ЮЭКСПИ,/residents/yuekspi/
ЯндексБел,/residents/yandeksbel/
